SEQ	TOKENURN	POS	HEAD	LEMMA
2921	urn:cite:fuSyntax:0085003tokens.2897120_14	n-p---mn-	urn:cite:fuSyntax:0085003tokens.2897120_16	διάδοχοσ
2922	urn:cite:fuSyntax:0085003tokens.2897120_15	n-p---ng-	urn:cite:fuSyntax:0085003tokens.2897120_14	μόχθημα1
2923	urn:cite:fuSyntax:0085003tokens.2897120_16	v3paom---	urn:cite:fuSyntax:0085003tokens.2897120_11	γίγνομαι1
2924	urn:cite:fuSyntax:0085003tokens.2897120_17	u--------	urn:cite:fuSyntax:0085003tokens.2897120_20	ξομμα1
2925	urn:cite:fuSyntax:0085003tokens.2897120_18	r--------	urn:cite:fuSyntax:0085003tokens.2897120_21	ὑπό1
2926	urn:cite:fuSyntax:0085003tokens.2897120_19	n-s---na-	urn:cite:fuSyntax:0085003tokens.2897120_18	ἅρμα1
2927	urn:cite:fuSyntax:0085003tokens.2897120_20	g--------	urn:cite:fuSyntax:0085003tokens.2897120_0	τε1
2928	urn:cite:fuSyntax:0085003tokens.2897120_21	v1saia---	urn:cite:fuSyntax:0085003tokens.2897120_20	ἄγω1
2929	urn:cite:fuSyntax:0085003tokens.2897120_22	a-p---ma-	urn:cite:fuSyntax:0085003tokens.2897120_23	φιλήνιοσ
2930	urn:cite:fuSyntax:0085003tokens.2897120_23	n-p---ma-	urn:cite:fuSyntax:0085003tokens.2897120_24	ἵπποσ
2931	urn:cite:fuSyntax:0085003tokens.2897120_24	u--------	urn:cite:fuSyntax:0085003tokens.2897120_21	ξομμα1
2932	urn:cite:fuSyntax:0085003tokens.2897120_25	n-s---na-	urn:cite:fuSyntax:0085003tokens.2897120_24	ἄγαλμα1
2933	urn:cite:fuSyntax:0085003tokens.2897120_26	l-s---fg-	urn:cite:fuSyntax:0085003tokens.2897120_28	ὁ1
2934	urn:cite:fuSyntax:0085003tokens.2897120_27	a-s---fg-	urn:cite:fuSyntax:0085003tokens.2897120_28	ὑπέρπλουτοσ
2935	urn:cite:fuSyntax:0085003tokens.2897120_28	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2897120_25	χλιδή1
2936	urn:cite:fuSyntax:0085003tokens.2897120_29	u--------	urn:cite:fuSyntax:0085003tokens.2897120_0	περιοδ1
2937	urn:cite:fuSyntax:0085003tokens.2897121_1	a-p---na-	urn:cite:fuSyntax:0085003tokens.2897121_10	θαλασσόπλαγκτοσ
2938	urn:cite:fuSyntax:0085003tokens.2897121_2	g--------	urn:cite:fuSyntax:0085003tokens.2897121_4	δέ1
2939	urn:cite:fuSyntax:0085003tokens.2897121_3	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2897121_4	οὔτισ
2940	urn:cite:fuSyntax:0085003tokens.2897121_4	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2897121_8	ἄλλοσ
2941	urn:cite:fuSyntax:0085003tokens.2897121_5	r--------	urn:cite:fuSyntax:0085003tokens.2897121_4	ἀντί1
2942	urn:cite:fuSyntax:0085003tokens.2897121_6	a-s---mg-	urn:cite:fuSyntax:0085003tokens.2897121_5	ἐμόσ
2943	urn:cite:fuSyntax:0085003tokens.2897121_7	a-p---na-	urn:cite:fuSyntax:0085003tokens.2897121_10	λινόπτεροσ
2944	urn:cite:fuSyntax:0085003tokens.2897121_8	v3saia---	urn:cite:fuSyntax:0085003tokens.2897121_0	εὑρίσκω1
2945	urn:cite:fuSyntax:0085003tokens.2897121_9	n-p---mg-	urn:cite:fuSyntax:0085003tokens.2897121_10	ναυτίλοσ
2946	urn:cite:fuSyntax:0085003tokens.2897121_10	n-p---na-	urn:cite:fuSyntax:0085003tokens.2897121_8	ὄχημα1
2947	urn:cite:fuSyntax:0085003tokens.2897121_11	u--------	urn:cite:fuSyntax:0085003tokens.2897121_0	περιοδ1
2948	urn:cite:fuSyntax:0085003tokens.2897122_1	a-p---na-	urn:cite:fuSyntax:0085003tokens.2897122_2	τοιοῦτοσ
2949	urn:cite:fuSyntax:0085003tokens.2897122_2	n-p---na-	urn:cite:fuSyntax:0085003tokens.2897122_3	μηχάνημα1
2950	urn:cite:fuSyntax:0085003tokens.2897122_3	t-sapamn-	urn:cite:fuSyntax:0085003tokens.2897122_9	ἐξευρίσκω1
2951	urn:cite:fuSyntax:0085003tokens.2897122_4	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2897122_3	τάλασ
2952	urn:cite:fuSyntax:0085003tokens.2897122_5	n-p---md-	urn:cite:fuSyntax:0085003tokens.2897122_3	βροτόσ
2953	urn:cite:fuSyntax:0085003tokens.2897122_6	u--------	urn:cite:fuSyntax:0085003tokens.2897122_3	ξομμα1
2954	urn:cite:fuSyntax:0085003tokens.2897122_7	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2897122_9	αὐτόσ
2955	urn:cite:fuSyntax:0085003tokens.2897122_8	d--------	urn:cite:fuSyntax:0085003tokens.2897122_9	οὐ1
2956	urn:cite:fuSyntax:0085003tokens.2897122_9	v1spia---	urn:cite:fuSyntax:0085003tokens.2897122_0	ἔχω1
2957	urn:cite:fuSyntax:0085003tokens.2897122_10	n-s---na-	urn:cite:fuSyntax:0085003tokens.2897122_9	σόφισμα1
2958	urn:cite:fuSyntax:0085003tokens.2897122_11	p-s---nd-	urn:cite:fuSyntax:0085003tokens.2897122_16	ὅστισ
2959	urn:cite:fuSyntax:0085003tokens.2897122_12	l-s---fg-	urn:cite:fuSyntax:0085003tokens.2897122_15	ὁ1
2960	urn:cite:fuSyntax:0085003tokens.2897122_13	d--------	urn:cite:fuSyntax:0085003tokens.2897122_14	νῦν1
2961	urn:cite:fuSyntax:0085003tokens.2897122_14	t-sppafg-	urn:cite:fuSyntax:0085003tokens.2897122_15	πάρειμι1
2962	urn:cite:fuSyntax:0085003tokens.2897122_15	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2897122_16	πημονή1
2963	urn:cite:fuSyntax:0085003tokens.2897122_16	v1sasp---	urn:cite:fuSyntax:0085003tokens.2897122_10	ἀπαλλάσσω1
2964	urn:cite:fuSyntax:0085003tokens.2897122_17	u--------	urn:cite:fuSyntax:0085003tokens.2897122_0	περιοδ1
2965	urn:cite:fuSyntax:0085003tokens.2897123_1	v2sria---	urn:cite:fuSyntax:0085003tokens.2897123_0	πάσχω1
2966	urn:cite:fuSyntax:0085003tokens.2897123_2	a-s---na-	urn:cite:fuSyntax:0085003tokens.2897123_3	ἀικήσ
2967	urn:cite:fuSyntax:0085003tokens.2897123_3	n-s---na-	urn:cite:fuSyntax:0085003tokens.2897123_1	πῆμα1
2968	urn:cite:fuSyntax:0085003tokens.2897123_4	u--------	urn:cite:fuSyntax:0085003tokens.2897123_0	πυνξ1
2969	urn:cite:fuSyntax:0085003tokens.2897124_1	t-sappmn-	urn:cite:fuSyntax:0085003tokens.2897124_3	ἀποσφάλλω1
2970	urn:cite:fuSyntax:0085003tokens.2897124_2	n-p---fg-	urn:cite:fuSyntax:0085003tokens.2897124_1	φρήν1
2971	urn:cite:fuSyntax:0085003tokens.2897124_3	v2spie---	urn:cite:fuSyntax:0085003tokens.2897124_6	πλανάω1
2972	urn:cite:fuSyntax:0085003tokens.2897124_4	u--------	urn:cite:fuSyntax:0085003tokens.2897124_14	ξομμα1
2973	urn:cite:fuSyntax:0085003tokens.2897124_5	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2897124_7	κακόσ
2974	urn:cite:fuSyntax:0085003tokens.2897124_6	g--------	urn:cite:fuSyntax:0085003tokens.2897124_0	δέ1
2975	urn:cite:fuSyntax:0085003tokens.2897124_7	n-s---mn-	urn:cite:fuSyntax:0085003tokens.2897124_8	ἰατρόσ
2976	urn:cite:fuSyntax:0085003tokens.2897124_8	d--------	urn:cite:fuSyntax:0085003tokens.2897124_14	ὡσ
2977	urn:cite:fuSyntax:0085003tokens.2897124_9	p-s---mn-	urn:cite:fuSyntax:0085003tokens.2897124_7	τισ
2978	urn:cite:fuSyntax:0085003tokens.2897124_10	r--------	urn:cite:fuSyntax:0085003tokens.2897124_12	εἰσ
2979	urn:cite:fuSyntax:0085003tokens.2897124_11	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2897124_10	νόσοσ
2980	urn:cite:fuSyntax:0085003tokens.2897124_12	t-sapamn-	urn:cite:fuSyntax:0085003tokens.2897124_8	πίπτω1
2981	urn:cite:fuSyntax:0085003tokens.2897124_13	v2spia---	urn:cite:fuSyntax:0085003tokens.2897124_14	ἀθυμέω1
2982	urn:cite:fuSyntax:0085003tokens.2897124_14	c--------	urn:cite:fuSyntax:0085003tokens.2897124_6	καί1
2983	urn:cite:fuSyntax:0085003tokens.2897124_15	p-s---ma-	urn:cite:fuSyntax:0085003tokens.2897124_18	σαυτοῦ
2984	urn:cite:fuSyntax:0085003tokens.2897124_16	d--------	urn:cite:fuSyntax:0085003tokens.2897124_17	οὐ1
2985	urn:cite:fuSyntax:0085003tokens.2897124_17	v2spia---	urn:cite:fuSyntax:0085003tokens.2897124_14	ἔχω1
2986	urn:cite:fuSyntax:0085003tokens.2897124_18	v--ana---	urn:cite:fuSyntax:0085003tokens.2897124_17	εὑρίσκω1
2987	urn:cite:fuSyntax:0085003tokens.2897124_19	a-p---md-	urn:cite:fuSyntax:0085003tokens.2897124_20	ὁποῖοσ
2988	urn:cite:fuSyntax:0085003tokens.2897124_20	n-p---md-	urn:cite:fuSyntax:0085003tokens.2897124_21	φάρμακοσ
2989	urn:cite:fuSyntax:0085003tokens.2897124_21	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2897124_18	ἰάσιμοσ
2990	urn:cite:fuSyntax:0085003tokens.2897124_22	u--------	urn:cite:fuSyntax:0085003tokens.2897124_0	περιοδ1
2991	urn:cite:fuSyntax:0085003tokens.2897125_1	l-p---na-	urn:cite:fuSyntax:0085003tokens.2897125_2	ὁ1
2992	urn:cite:fuSyntax:0085003tokens.2897125_2	a-p---na-	urn:cite:fuSyntax:0085003tokens.2897125_4	λοιπόσ
2993	urn:cite:fuSyntax:0085003tokens.2897125_3	p-s---mg-	urn:cite:fuSyntax:0085003tokens.2897125_2	ἐγώ1
2994	urn:cite:fuSyntax:0085003tokens.2897125_4	t-sppafn-	urn:cite:fuSyntax:0085003tokens.2897125_5	κλύω1
2995	urn:cite:fuSyntax:0085003tokens.2897125_5	v2sfim---	urn:cite:fuSyntax:0085003tokens.2897125_0	θαυμάζω1
2996	urn:cite:fuSyntax:0085003tokens.2897125_6	a-s---nac	urn:cite:fuSyntax:0085003tokens.2897125_5	πλείων1
2997	urn:cite:fuSyntax:0085003tokens.2897125_7	u--------	urn:cite:fuSyntax:0085003tokens.2897125_13	ξομμα1
2998	urn:cite:fuSyntax:0085003tokens.2897125_8	a-p---fa-	urn:cite:fuSyntax:0085003tokens.2897125_9	οἷοσ
2999	urn:cite:fuSyntax:0085003tokens.2897125_9	n-p---fa-	urn:cite:fuSyntax:0085003tokens.2897125_11	τέχνη1
3000	urn:cite:fuSyntax:0085003tokens.2897125_10	g--------	urn:cite:fuSyntax:0085003tokens.2897125_11	τε1
3001	urn:cite:fuSyntax:0085003tokens.2897125_11	c--------	urn:cite:fuSyntax:0085003tokens.2897125_13	καί1
3002	urn:cite:fuSyntax:0085003tokens.2897125_12	n-p---ma-	urn:cite:fuSyntax:0085003tokens.2897125_11	πόροσ
3003	urn:cite:fuSyntax:0085003tokens.2897125_13	v1saim---	urn:cite:fuSyntax:0085003tokens.2897125_2	μήδομαι1
3004	urn:cite:fuSyntax:0085003tokens.2897125_14	u--------	urn:cite:fuSyntax:0085003tokens.2897125_0	περιοδ1
3005	urn:cite:fuSyntax:0085003tokens.2897126_1	l-s---na-	urn:cite:fuSyntax:0085003tokens.2897126_3	ὁ1
3006	urn:cite:fuSyntax:0085003tokens.2897126_2	g--------	urn:cite:fuSyntax:0085003tokens.2897126_27	μέν1
3007	urn:cite:fuSyntax:0085003tokens.2897126_3	a-s---na-	urn:cite:fuSyntax:0085003tokens.2897126_27	μέγασ
3008	urn:cite:fuSyntax:0085003tokens.2897126_4	u--------	urn:cite:fuSyntax:0085003tokens.2897126_5	ξομμα1
3009	urn:cite:fuSyntax:0085003tokens.2897126_5	c--------	urn:cite:fuSyntax:0085003tokens.2897126_12	εἰ1
3010	urn:cite:fuSyntax:0085003tokens.2897126_6	p-s---mn-	urn:cite:fuSyntax:0085003tokens.2897126_9	τισ
3011	urn:cite:fuSyntax:0085003tokens.2897126_7	r--------	urn:cite:fuSyntax:0085003tokens.2897126_9	εἰσ
3012	urn:cite:fuSyntax:0085003tokens.2897126_8	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2897126_7	νόσοσ
3013	urn:cite:fuSyntax:0085003tokens.2897126_9	v3saoa---	urn:cite:fuSyntax:0085003tokens.2897126_5	πίπτω1
3014	urn:cite:fuSyntax:0085003tokens.2897126_10	u--------	urn:cite:fuSyntax:0085003tokens.2897126_5	ξομμα1
3015	urn:cite:fuSyntax:0085003tokens.2897126_11	d--------	urn:cite:fuSyntax:0085003tokens.2897126_12	οὐ1
3016	urn:cite:fuSyntax:0085003tokens.2897126_12	v3siia---	urn:cite:fuSyntax:0085003tokens.2897126_27	εἰμί1
3017	urn:cite:fuSyntax:0085003tokens.2897126_13	n-s---nn-	urn:cite:fuSyntax:0085003tokens.2897126_12	ἀλέξημα1
3018	urn:cite:fuSyntax:0085003tokens.2897126_14	a-s---nn-	urn:cite:fuSyntax:0085003tokens.2897126_13	οὐδείσ
3019	urn:cite:fuSyntax:0085003tokens.2897126_15	u--------	urn:cite:fuSyntax:0085003tokens.2897126_24	ξομμα1
3020	urn:cite:fuSyntax:0085003tokens.2897126_16	d--------	urn:cite:fuSyntax:0085003tokens.2897126_18	οὔτε1
3021	urn:cite:fuSyntax:0085003tokens.2897126_17	g--------	urn:cite:fuSyntax:0085003tokens.2897126_24	τε1
3022	urn:cite:fuSyntax:0085003tokens.2897126_18	a-s---nn-	urn:cite:fuSyntax:0085003tokens.2897126_24	βρώσιμοσ
3023	urn:cite:fuSyntax:0085003tokens.2897126_19	u--------	urn:cite:fuSyntax:0085003tokens.2897126_24	ξομμα1
3024	urn:cite:fuSyntax:0085003tokens.2897126_20	d--------	urn:cite:fuSyntax:0085003tokens.2897126_21	οὐ1
3025	urn:cite:fuSyntax:0085003tokens.2897126_21	a-s---nn-	urn:cite:fuSyntax:0085003tokens.2897126_24	χριστόσ
3026	urn:cite:fuSyntax:0085003tokens.2897126_22	u--------	urn:cite:fuSyntax:0085003tokens.2897126_24	ξομμα1
3027	urn:cite:fuSyntax:0085003tokens.2897126_23	g--------	urn:cite:fuSyntax:0085003tokens.2897126_25	οὐδέ1
3028	urn:cite:fuSyntax:0085003tokens.2897126_24	g--------	urn:cite:fuSyntax:0085003tokens.2897126_13	δέ1
3029	urn:cite:fuSyntax:0085003tokens.2897126_25	a-s---nn-	urn:cite:fuSyntax:0085003tokens.2897126_24	πιστόσ
3030	urn:cite:fuSyntax:0085003tokens.2897126_26	u--------	urn:cite:fuSyntax:0085003tokens.2897126_27	ξομμα1
3031	urn:cite:fuSyntax:0085003tokens.2897126_27	d--------	urn:cite:fuSyntax:0085003tokens.2897126_0	ἀλλά1
3032	urn:cite:fuSyntax:0085003tokens.2897126_28	n-p---ng-	urn:cite:fuSyntax:0085003tokens.2897126_29	φάρμακον1
3033	urn:cite:fuSyntax:0085003tokens.2897126_29	n-s---fd-	urn:cite:fuSyntax:0085003tokens.2897126_30	χρεία1
3034	urn:cite:fuSyntax:0085003tokens.2897126_30	v3piie---	urn:cite:fuSyntax:0085003tokens.2897126_27	κατασκέλλομαι1
3035	urn:cite:fuSyntax:0085003tokens.2897126_31	u--------	urn:cite:fuSyntax:0085003tokens.2897126_32	ξομμα1
3036	urn:cite:fuSyntax:0085003tokens.2897126_32	d--------	urn:cite:fuSyntax:0085003tokens.2897126_27	πρίν1
3037	urn:cite:fuSyntax:0085003tokens.2897126_33	g--------	urn:cite:fuSyntax:0085003tokens.2897126_36	γε1
3038	urn:cite:fuSyntax:0085003tokens.2897126_34	p-s---mn-	urn:cite:fuSyntax:0085003tokens.2897126_36	ἐγώ1
3039	urn:cite:fuSyntax:0085003tokens.2897126_35	p-p---md-	urn:cite:fuSyntax:0085003tokens.2897126_36	σφεῖσ
3040	urn:cite:fuSyntax:0085003tokens.2897126_36	v1saia---	urn:cite:fuSyntax:0085003tokens.2897126_32	δείκνυμι1
3041	urn:cite:fuSyntax:0085003tokens.2897126_37	n-p---fa-	urn:cite:fuSyntax:0085003tokens.2897126_36	κρᾶσισ
3042	urn:cite:fuSyntax:0085003tokens.2897126_38	a-p---ng-	urn:cite:fuSyntax:0085003tokens.2897126_39	ἤπιοσ
3043	urn:cite:fuSyntax:0085003tokens.2897126_39	n-p---ng-	urn:cite:fuSyntax:0085003tokens.2897126_37	ἄκεσμα1
3044	urn:cite:fuSyntax:0085003tokens.2897126_40	u--------	urn:cite:fuSyntax:0085003tokens.2897126_44	ξομμα1
3045	urn:cite:fuSyntax:0085003tokens.2897126_41	p-p---fd-	urn:cite:fuSyntax:0085003tokens.2897126_44	ὅσ
3046	urn:cite:fuSyntax:0085003tokens.2897126_42	l-p---fa-	urn:cite:fuSyntax:0085003tokens.2897126_45	ὁ1
3047	urn:cite:fuSyntax:0085003tokens.2897126_43	a-p---fa-	urn:cite:fuSyntax:0085003tokens.2897126_45	ἅπασ
3048	urn:cite:fuSyntax:0085003tokens.2897126_44	v3ppie---	urn:cite:fuSyntax:0085003tokens.2897126_37	ἐξαμύνομαι1
3049	urn:cite:fuSyntax:0085003tokens.2897126_45	n-p---fa-	urn:cite:fuSyntax:0085003tokens.2897126_44	νόσοσ
3050	urn:cite:fuSyntax:0085003tokens.2897126_46	u--------	urn:cite:fuSyntax:0085003tokens.2897126_0	περιοδ1
3051	urn:cite:fuSyntax:0085003tokens.2897127_1	n-p---ma-	urn:cite:fuSyntax:0085003tokens.2897127_5	τρόποσ
3052	urn:cite:fuSyntax:0085003tokens.2897127_2	g--------	urn:cite:fuSyntax:0085003tokens.2897127_17	τε1
3053	urn:cite:fuSyntax:0085003tokens.2897127_3	a-p---ma-	urn:cite:fuSyntax:0085003tokens.2897127_1	πολύσ
3054	urn:cite:fuSyntax:0085003tokens.2897127_4	a-s---fg-	urn:cite:fuSyntax:0085003tokens.2897127_1	μαντικόσ
3055	urn:cite:fuSyntax:0085003tokens.2897127_5	v1saia---	urn:cite:fuSyntax:0085003tokens.2897127_17	στοιχίζω1
3056	urn:cite:fuSyntax:0085003tokens.2897127_6	u--------	urn:cite:fuSyntax:0085003tokens.2897127_17	ξομμα1
3057	urn:cite:fuSyntax:0085003tokens.2897127_7	v1saia---	urn:cite:fuSyntax:0085003tokens.2897127_17	κρίνω1
3058	urn:cite:fuSyntax:0085003tokens.2897127_8	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2897127_7	πρῶτοσ
3059	urn:cite:fuSyntax:0085003tokens.2897127_9	r--------	urn:cite:fuSyntax:0085003tokens.2897127_7	ἐκ1
3060	urn:cite:fuSyntax:0085003tokens.2897127_10	n-p---ng-	urn:cite:fuSyntax:0085003tokens.2897127_9	ὄνειροσ
3061	urn:cite:fuSyntax:0085003tokens.2897127_11	p-p---na-	urn:cite:fuSyntax:0085003tokens.2897127_14	ὅσ
3062	urn:cite:fuSyntax:0085003tokens.2897127_12	v3spia---	urn:cite:fuSyntax:0085003tokens.2897127_7	χρή1
3063	urn:cite:fuSyntax:0085003tokens.2897127_13	n-s---na-	urn:cite:fuSyntax:0085003tokens.2897127_14	ὕπαρ
3064	urn:cite:fuSyntax:0085003tokens.2897127_14	v--an----	urn:cite:fuSyntax:0085003tokens.2897127_12	γίγνομαι1
3065	urn:cite:fuSyntax:0085003tokens.2897127_15	u--------	urn:cite:fuSyntax:0085003tokens.2897127_17	ξομμα1
3066	urn:cite:fuSyntax:0085003tokens.2897127_16	n-p---fa-	urn:cite:fuSyntax:0085003tokens.2897127_22	κληδών1
3067	urn:cite:fuSyntax:0085003tokens.2897127_17	g--------	urn:cite:fuSyntax:0085003tokens.2897127_0	τε1
3068	urn:cite:fuSyntax:0085003tokens.2897127_18	a-p---fa-	urn:cite:fuSyntax:0085003tokens.2897127_16	δύσκριτοσ
3069	urn:cite:fuSyntax:0085003tokens.2897127_19	v1saia---	urn:cite:fuSyntax:0085003tokens.2897127_17	γνωρίζω1
3070	urn:cite:fuSyntax:0085003tokens.2897127_20	a-p---md-	urn:cite:fuSyntax:0085003tokens.2897127_19	αὐτόσ
3071	urn:cite:fuSyntax:0085003tokens.2897127_21	a-p---ma-	urn:cite:fuSyntax:0085003tokens.2897127_23	ἐνόδιοσ
3072	urn:cite:fuSyntax:0085003tokens.2897127_22	g--------	urn:cite:fuSyntax:0085003tokens.2897127_19	τε1
3073	urn:cite:fuSyntax:0085003tokens.2897127_23	n-p---ma-	urn:cite:fuSyntax:0085003tokens.2897127_22	σύμβολοσ
3074	urn:cite:fuSyntax:0085003tokens.2897127_24	u--------	urn:cite:fuSyntax:0085003tokens.2897127_0	πυνξ1
3075	urn:cite:fuSyntax:0085003tokens.2897128_1	n-p---mg-	urn:cite:fuSyntax:0085003tokens.2897128_4	γαμψῶνυξ1
3076	urn:cite:fuSyntax:0085003tokens.2897128_2	g--------	urn:cite:fuSyntax:0085003tokens.2897128_0	τε1
3077	urn:cite:fuSyntax:0085003tokens.2897128_3	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2897128_7	πτῆσισ
3078	urn:cite:fuSyntax:0085003tokens.2897128_4	n-p---mg-	urn:cite:fuSyntax:0085003tokens.2897128_3	οἰωνόσ
3079	urn:cite:fuSyntax:0085003tokens.2897128_5	d--------	urn:cite:fuSyntax:0085003tokens.2897128_6	σκεθρόσ
3080	urn:cite:fuSyntax:0085003tokens.2897128_6	v1saia---	urn:cite:fuSyntax:0085003tokens.2897128_2	διορίζω
3081	urn:cite:fuSyntax:0085003tokens.2897128_7	u--------	urn:cite:fuSyntax:0085003tokens.2897128_6	ξομμα1
3082	urn:cite:fuSyntax:0085003tokens.2897128_8	p-p---mn-	urn:cite:fuSyntax:0085003tokens.2897128_21	ὅστισ
3083	urn:cite:fuSyntax:0085003tokens.2897128_9	g--------	urn:cite:fuSyntax:0085003tokens.2897128_21	τε1
3084	urn:cite:fuSyntax:0085003tokens.2897128_10	a-p---mn-	urn:cite:fuSyntax:0085003tokens.2897128_21	δεξιόσ
3085	urn:cite:fuSyntax:0085003tokens.2897128_11	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2897128_10	φύσισ
3086	urn:cite:fuSyntax:0085003tokens.2897128_12	a-p---fa-	urn:cite:fuSyntax:0085003tokens.2897128_21	εὐώνυμοσ
3087	urn:cite:fuSyntax:0085003tokens.2897128_13	g--------	urn:cite:fuSyntax:0085003tokens.2897128_21	τε1
3088	urn:cite:fuSyntax:0085003tokens.2897128_14	u--------	urn:cite:fuSyntax:0085003tokens.2897128_21	ξομμα1
3089	urn:cite:fuSyntax:0085003tokens.2897128_15	c--------	urn:cite:fuSyntax:0085003tokens.2897128_21	καί1
3090	urn:cite:fuSyntax:0085003tokens.2897128_16	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2897128_18	δίαιτα1
3091	urn:cite:fuSyntax:0085003tokens.2897128_17	p-s---fa-	urn:cite:fuSyntax:0085003tokens.2897128_16	ὅστισ
3092	urn:cite:fuSyntax:0085003tokens.2897128_18	v3ppia---	urn:cite:fuSyntax:0085003tokens.2897128_21	ἔχω1
3093	urn:cite:fuSyntax:0085003tokens.2897128_19	a-p---mn-	urn:cite:fuSyntax:0085003tokens.2897128_18	ἕκαστοσ
3094	urn:cite:fuSyntax:0085003tokens.2897128_20	u--------	urn:cite:fuSyntax:0085003tokens.2897128_21	ξομμα1
3095	urn:cite:fuSyntax:0085003tokens.2897128_21	c--------	urn:cite:fuSyntax:0085003tokens.2897128_7	καί1
3096	urn:cite:fuSyntax:0085003tokens.2897128_22	r--------	urn:cite:fuSyntax:0085003tokens.2897128_29	πρόσ
3097	urn:cite:fuSyntax:0085003tokens.2897128_23	a-p---ma-	urn:cite:fuSyntax:0085003tokens.2897128_22	ἀλλήλων1
3098	urn:cite:fuSyntax:0085003tokens.2897128_24	p-p---fn-	urn:cite:fuSyntax:0085003tokens.2897128_21	τίς
3099	urn:cite:fuSyntax:0085003tokens.2897128_25	n-p---fn-	urn:cite:fuSyntax:0085003tokens.2897128_29	ἔχθρη1
3100	urn:cite:fuSyntax:0085003tokens.2897128_26	g--------	urn:cite:fuSyntax:0085003tokens.2897128_29	τε1
3101	urn:cite:fuSyntax:0085003tokens.2897128_27	c--------	urn:cite:fuSyntax:0085003tokens.2897128_29	καί1
3102	urn:cite:fuSyntax:0085003tokens.2897128_28	n-p---nn-	urn:cite:fuSyntax:0085003tokens.2897128_29	στέργηθρον1
3103	urn:cite:fuSyntax:0085003tokens.2897128_29	c--------	urn:cite:fuSyntax:0085003tokens.2897128_21	καί1
3104	urn:cite:fuSyntax:0085003tokens.2897128_30	n-p---fn-	urn:cite:fuSyntax:0085003tokens.2897128_29	συνεδρία1
3105	urn:cite:fuSyntax:0085003tokens.2897128_31	u--------	urn:cite:fuSyntax:0085003tokens.2897128_0	πυνξ1
3106	urn:cite:fuSyntax:0085003tokens.2897129_1	n-p---ng-	urn:cite:fuSyntax:0085003tokens.2897129_3	σπλάγχνον1
3107	urn:cite:fuSyntax:0085003tokens.2897129_2	g--------	urn:cite:fuSyntax:0085003tokens.2897129_17	τε1
3108	urn:cite:fuSyntax:0085003tokens.2897129_3	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2897129_17	λειότησ
3109	urn:cite:fuSyntax:0085003tokens.2897129_4	u--------	urn:cite:fuSyntax:0085003tokens.2897129_17	ξομμα1
3110	urn:cite:fuSyntax:0085003tokens.2897129_5	c--------	urn:cite:fuSyntax:0085003tokens.2897129_17	καί1
3111	urn:cite:fuSyntax:0085003tokens.2897129_6	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2897129_8	χροιά1
3112	urn:cite:fuSyntax:0085003tokens.2897129_7	a-s---fa-	urn:cite:fuSyntax:0085003tokens.2897129_6	τίς
3113	urn:cite:fuSyntax:0085003tokens.2897129_8	t-pppafn-	urn:cite:fuSyntax:0085003tokens.2897129_10	ἔχω1
3114	urn:cite:fuSyntax:0085003tokens.2897129_9	g--------	urn:cite:fuSyntax:0085003tokens.2897129_10	ἄν1
3115	urn:cite:fuSyntax:0085003tokens.2897129_10	v3spoa---	urn:cite:fuSyntax:0085003tokens.2897129_17	εἰμί1
3116	urn:cite:fuSyntax:0085003tokens.2897129_11	n-p---md-	urn:cite:fuSyntax:0085003tokens.2897129_10	δαίμων1
3117	urn:cite:fuSyntax:0085003tokens.2897129_12	r--------	urn:cite:fuSyntax:0085003tokens.2897129_10	πρόσ
3118	urn:cite:fuSyntax:0085003tokens.2897129_13	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2897129_12	ἡδονή1
3119	urn:cite:fuSyntax:0085003tokens.2897129_14	n-s---fn-	urn:cite:fuSyntax:0085003tokens.2897129_10	χολή1
3120	urn:cite:fuSyntax:0085003tokens.2897129_15	u--------	urn:cite:fuSyntax:0085003tokens.2897129_17	ξομμα1
3121	urn:cite:fuSyntax:0085003tokens.2897129_16	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2897129_19	λοβόσ
3122	urn:cite:fuSyntax:0085003tokens.2897129_17	g--------	urn:cite:fuSyntax:0085003tokens.2897129_0	τε1
3123	urn:cite:fuSyntax:0085003tokens.2897129_18	a-s---fa-	urn:cite:fuSyntax:0085003tokens.2897129_19	ποικίλοσ
